name;reported;released
ZDI-16-018;2015-10-08;2016-01-12
ZDI-16-157;2015-09-17;2016-02-09
ZDI-16-158;2015-11-05;2016-02-09
ZDI-16-159;2015-11-09;2016-02-09
ZDI-16-162;2015-11-05;2016-02-09
ZDI-16-166;2015-11-05;2016-02-10
ZDI-16-179;2015-11-24;2016-03-08
ZDI-16-180;2015-12-07;2016-03-08
ZDI-16-183;2015-11-24;2016-03-08
ZDI-16-184;2015-12-22;2016-03-08
ZDI-16-185;2016-01-05;2016-03-08
ZDI-16-186;2016-01-05;2016-03-08
ZDI-16-187;2016-01-07;2016-03-08
ZDI-16-188;2016-01-05;2016-03-08
ZDI-16-195;2015-05-06;2016-03-10
ZDI-16-229;2015-11-02;2016-04-12
ZDI-16-230;2015-11-09;2016-04-12
ZDI-16-231;2015-11-24;2016-04-12
ZDI-16-275;2016-01-19;2016-05-10
ZDI-16-276;2016-02-01;2016-05-10
ZDI-16-365;2016-04-07;2016-06-15
ZDI-16-366;2016-02-01;2016-06-16
ZDI-16-409;2016-04-07;2016-07-12
ZDI-16-410;2016-04-07;2016-07-12
ZDI-16-450;2016-05-05;2016-08-09
ZDI-16-454;2016-05-23;2016-08-09
ZDI-16-510;2016-05-24;2016-09-16
ZDI-16-533;2016-07-12;2016-10-11
ZDI-16-534;2016-07-26;2016-10-11
