
Listdlls v3.2 - Listdlls
Copyright (C) 1997-2016 Mark Russinovich
Sysinternals

------------------------------------------------------------------------------
chrome.exe pid: 5376
Command line: "C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 

Base                Size      Path
0x0000000017090000  0x12d000  C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
0x0000000031670000  0x1db000  C:\Windows\SYSTEM32\ntdll.dll
0x0000000031430000  0xae000   C:\Windows\System32\KERNEL32.DLL
0x000000002dc90000  0x249000  C:\Windows\System32\KERNELBASE.dll
0x000000002c100000  0x7e000   C:\Windows\SYSTEM32\apphelp.dll
0x0000000025770000  0x57000   C:\Windows\AppPatch\AppPatch64\AcGenral.dll
0x0000000030c00000  0x9d000   C:\Windows\System32\msvcrt.dll
0x00000000314e0000  0x59000   C:\Windows\System32\sechost.dll
0x000000002ebd0000  0x125000  C:\Windows\System32\RPCRT4.dll
0x0000000031600000  0x51000   C:\Windows\System32\SHLWAPI.dll
0x0000000030e50000  0x2f9000  C:\Windows\System32\combase.dll
0x000000002db90000  0xf6000   C:\Windows\System32\ucrtbase.dll
0x000000002e9e0000  0x6a000   C:\Windows\System32\bcryptPrimitives.dll
0x000000002ee40000  0x27000   C:\Windows\System32\GDI32.dll
0x000000002e850000  0x189000  C:\Windows\System32\gdi32full.dll
0x000000002e7b0000  0x9a000   C:\Windows\System32\msvcp_win.dll
0x00000000312e0000  0x14a000  C:\Windows\System32\USER32.dll
0x000000002eb00000  0x1e000   C:\Windows\System32\win32u.dll
0x0000000030550000  0x145000  C:\Windows\System32\ole32.dll
0x000000002ef50000  0x1437000  C:\Windows\System32\SHELL32.dll
0x000000002eb20000  0x49000   C:\Windows\System32\cfgmgr32.dll
0x0000000030390000  0xaa000   C:\Windows\System32\shcore.dll
0x000000002dee0000  0x6f2000  C:\Windows\System32\windows.storage.dll
0x000000002ee70000  0xa1000   C:\Windows\System32\advapi32.dll
0x000000002dae0000  0x11000   C:\Windows\System32\kernel.appcore.dll
0x000000002db20000  0x4c000   C:\Windows\System32\powrprof.dll
0x000000002db00000  0x15000   C:\Windows\System32\profapi.dll
0x000000002da10000  0x30000   C:\Windows\SYSTEM32\SspiCli.dll
0x000000002d9e0000  0x29000   C:\Windows\SYSTEM32\USERENV.dll
0x0000000023dc0000  0x1b000   C:\Windows\SYSTEM32\MPR.dll
0x000000002ef20000  0x2d000   C:\Windows\System32\IMM32.DLL
0x0000000030740000  0x8000    C:\Windows\System32\PSAPI.DLL
0x000000001d840000  0x91000   C:\Program Files (x86)\Google\Chrome\Application\59.0.3071.86\chrome_elf.dll
0x0000000025040000  0xa000    C:\Windows\SYSTEM32\VERSION.dll
0x000000002bee0000  0x23000   C:\Windows\SYSTEM32\WINMM.dll
0x0000000025390000  0xd7000   C:\Windows\SYSTEM32\WINHTTP.dll
0x000000002be80000  0x2b000   C:\Windows\SYSTEM32\WINMMBASE.dll
0x000000002d550000  0xb000    C:\Windows\SYSTEM32\CRYPTBASE.DLL
0x000000001d240000  0x5d000   C:\Windows\SYSTEM32\ninput.dll
0x000000002ed80000  0xbf000   C:\Windows\System32\OLEAUT32.dll
0x00000000fd920000  0x307c000  C:\Program Files (x86)\Google\Chrome\Application\59.0.3071.86\chrome.dll
0x000000002eb70000  0x56000   C:\Windows\System32\WINTRUST.dll
0x000000002db70000  0x11000   C:\Windows\System32\MSASN1.dll
0x000000002e5e0000  0x1c9000  C:\Windows\System32\CRYPT32.dll
0x000000001bb90000  0x6b000   C:\Windows\SYSTEM32\OLEACC.dll
0x0000000024200000  0x267000  C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.15063.0_none_108e4f62dfe5d999\COMCTL32.dll
0x000000002c8c0000  0xd000    C:\Windows\SYSTEM32\HID.DLL
0x0000000020980000  0x1a9000  C:\Windows\SYSTEM32\dbghelp.dll
0x0000000025750000  0x19000   C:\Windows\SYSTEM32\USP10.dll
0x0000000028aa0000  0x10000   C:\Windows\SYSTEM32\credui.dll
0x0000000024c80000  0x17000   C:\Windows\SYSTEM32\NETAPI32.dll
0x000000002d610000  0x25000   C:\Windows\SYSTEM32\ncrypt.dll
0x0000000024a90000  0xc000    C:\Windows\SYSTEM32\Secur32.dll
0x0000000026350000  0x2c0000  C:\Windows\SYSTEM32\DWrite.dll
0x000000002aa60000  0x13000   C:\Windows\SYSTEM32\WTSAPI32.dll
0x000000002af00000  0x2df000  C:\Windows\SYSTEM32\d3d11.dll
0x000000002c900000  0xa4000   C:\Windows\SYSTEM32\dxgi.dll
0x0000000029520000  0x60000   C:\Windows\SYSTEM32\wevtapi.dll
0x000000002d9b0000  0x25000   C:\Windows\SYSTEM32\bcrypt.dll
0x000000002d5d0000  0x36000   C:\Windows\SYSTEM32\NTASN1.dll
0x0000000024bb0000  0x18000   C:\Windows\SYSTEM32\SAMCLI.DLL
0x000000002d220000  0xd000    C:\Windows\SYSTEM32\NETUTILS.DLL
0x000000002cde0000  0x31000   C:\Windows\SYSTEM32\ntmarta.dll
0x000000002c2e0000  0x95000   C:\Windows\system32\uxtheme.dll
0x0000000030b90000  0x6c000   C:\Windows\System32\WS2_32.dll
0x000000002aa90000  0x2a000   C:\Windows\system32\dwmapi.dll
0x0000000031170000  0x166000  C:\Windows\System32\MSCTF.dll
