
Listdlls v3.2 - Listdlls
Copyright (C) 1997-2016 Mark Russinovich
Sysinternals

------------------------------------------------------------------------------
MicrosoftEdge.exe pid: 4264
Command line: "C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe" -ServerName:MicrosoftEdge.AppXdnhjhccw3zf0j06tkg3jtqr00qdm0khc.mca

Base                Size      Path
0x0000000040ad0000  0xb14000  C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe
0x0000000031670000  0x1db000  C:\Windows\SYSTEM32\ntdll.dll
0x0000000031430000  0xae000   C:\Windows\System32\KERNEL32.DLL
0x000000002dc90000  0x249000  C:\Windows\System32\KERNELBASE.dll
0x000000002c100000  0x7e000   C:\Windows\SYSTEM32\apphelp.dll
0x0000000030390000  0xaa000   C:\Windows\System32\shcore.dll
0x0000000030c00000  0x9d000   C:\Windows\System32\msvcrt.dll
0x000000002ebd0000  0x125000  C:\Windows\System32\RPCRT4.dll
0x0000000030e50000  0x2f9000  C:\Windows\System32\combase.dll
0x000000002db90000  0xf6000   C:\Windows\System32\ucrtbase.dll
0x000000002e9e0000  0x6a000   C:\Windows\System32\bcryptPrimitives.dll
0x0000000030550000  0x145000  C:\Windows\System32\ole32.dll
0x000000002ee40000  0x27000   C:\Windows\System32\GDI32.dll
0x000000002e850000  0x189000  C:\Windows\System32\gdi32full.dll
0x000000002e7b0000  0x9a000   C:\Windows\System32\msvcp_win.dll
0x00000000312e0000  0x14a000  C:\Windows\System32\USER32.dll
0x000000002eb00000  0x1e000   C:\Windows\System32\win32u.dll
0x00000000314e0000  0x59000   C:\Windows\System32\sechost.dll
0x00000000291a0000  0x60000   C:\Windows\SYSTEM32\wincorlib.DLL
0x000000002ed80000  0xbf000   C:\Windows\System32\OLEAUT32.dll
0x000000002ef20000  0x2d000   C:\Windows\System32\IMM32.DLL
0x000000002dae0000  0x11000   C:\Windows\System32\kernel.appcore.dll
0x000000002c520000  0x170000  C:\Windows\System32\twinapi.appcore.dll
0x000000002d9b0000  0x25000   C:\Windows\SYSTEM32\bcrypt.dll
0x000000002a1e0000  0x139000  C:\Windows\System32\WinTypes.dll
0x0000000025050000  0x74000   C:\Windows\SYSTEM32\msIso.dll
