
Listdlls v3.2 - Listdlls
Copyright (C) 1997-2016 Mark Russinovich
Sysinternals

------------------------------------------------------------------------------
iexplore.exe pid: 6152
Command line: "C:\Program Files\Internet Explorer\iexplore.exe" 

Base                Size      Path
0x0000000075140000  0xcb000   C:\Program Files\Internet Explorer\iexplore.exe
0x0000000031670000  0x1db000  C:\Windows\SYSTEM32\ntdll.dll
0x0000000031430000  0xae000   C:\Windows\System32\KERNEL32.DLL
0x000000002dc90000  0x249000  C:\Windows\System32\KERNELBASE.dll
0x000000002c100000  0x7e000   C:\Windows\SYSTEM32\apphelp.dll
0x00000000312e0000  0x14a000  C:\Windows\System32\USER32.dll
0x000000002eb00000  0x1e000   C:\Windows\System32\win32u.dll
0x000000002ee40000  0x27000   C:\Windows\System32\GDI32.dll
0x000000002e850000  0x189000  C:\Windows\System32\gdi32full.dll
0x000000002e7b0000  0x9a000   C:\Windows\System32\msvcp_win.dll
0x000000002db90000  0xf6000   C:\Windows\System32\ucrtbase.dll
0x0000000030c00000  0x9d000   C:\Windows\System32\msvcrt.dll
0x0000000030390000  0xaa000   C:\Windows\System32\shcore.dll
0x000000002ebd0000  0x125000  C:\Windows\System32\RPCRT4.dll
0x0000000030e50000  0x2f9000  C:\Windows\System32\combase.dll
0x000000002e9e0000  0x6a000   C:\Windows\System32\bcryptPrimitives.dll
0x000000002ee70000  0xa1000   C:\Windows\System32\ADVAPI32.dll
0x00000000314e0000  0x59000   C:\Windows\System32\sechost.dll
0x0000000026f10000  0x286000  C:\Windows\SYSTEM32\iertutil.dll
0x000000002ef20000  0x2d000   C:\Windows\System32\IMM32.DLL
0x0000000025050000  0x74000   C:\Windows\SYSTEM32\msIso.dll
0x000000002dae0000  0x11000   C:\Windows\System32\kernel.appcore.dll
0x00000000ffd60000  0xc3f000  C:\Windows\SYSTEM32\IEFRAME.dll
0x0000000031600000  0x51000   C:\Windows\System32\SHLWAPI.dll
0x0000000030550000  0x145000  C:\Windows\System32\ole32.dll
0x000000002ed80000  0xbf000   C:\Windows\System32\OLEAUT32.dll
0x000000002ef50000  0x1437000  C:\Windows\System32\SHELL32.dll
0x000000002eb20000  0x49000   C:\Windows\System32\cfgmgr32.dll
0x000000002dee0000  0x6f2000  C:\Windows\System32\windows.storage.dll
0x000000002db20000  0x4c000   C:\Windows\System32\powrprof.dll
0x000000002db00000  0x15000   C:\Windows\System32\profapi.dll
0x0000000025040000  0xa000    C:\Windows\SYSTEM32\VERSION.dll
0x0000000024c80000  0x17000   C:\Windows\SYSTEM32\NETAPI32.dll
0x0000000023eb0000  0x8e000   C:\Windows\SYSTEM32\DSREG.DLL
0x00000000282c0000  0x8f000   C:\Windows\SYSTEM32\msvcp110_win.dll
0x000000002d220000  0xd000    C:\Windows\SYSTEM32\NETUTILS.DLL
0x000000002d530000  0x17000   C:\Windows\SYSTEM32\cryptsp.dll
0x0000000029500000  0x16000   C:\Windows\SYSTEM32\WKSCLI.DLL
0x000000002d9b0000  0x25000   C:\Windows\SYSTEM32\bcrypt.dll
0x0000000024200000  0x267000  C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.15063.0_none_108e4f62dfe5d999\comctl32.dll
0x000000001eec0000  0x6b000   C:\Program Files\Internet Explorer\IEShims.dll
0x0000000030440000  0x108000  C:\Windows\System32\comdlg32.dll
0x000000002c2e0000  0x95000   C:\Windows\system32\uxtheme.dll
0x0000000026b90000  0x1c8000  C:\Windows\SYSTEM32\urlmon.dll
0x000000002d550000  0xb000    C:\Windows\SYSTEM32\CRYPTBASE.DLL
0x0000000031170000  0x166000  C:\Windows\System32\MSCTF.dll
0x000000002aa90000  0x2a000   C:\Windows\system32\dwmapi.dll
0x000000001d900000  0x32e000  C:\Windows\SYSTEM32\WININET.dll
0x000000002da10000  0x30000   C:\Windows\SYSTEM32\SspiCli.dll
0x0000000024790000  0x10000   C:\Windows\SYSTEM32\tokenbinding.dll
0x0000000030b90000  0x6c000   C:\Windows\System32\WS2_32.dll
0x000000001df80000  0x1b000   C:\Windows\SYSTEM32\ondemandconnroutehelper.dll
0x000000002d130000  0x37000   C:\Windows\SYSTEM32\IPHLPAPI.DLL
0x0000000025390000  0xd7000   C:\Windows\SYSTEM32\winhttp.dll
0x000000002d390000  0x5c000   C:\Windows\system32\mswsock.dll
0x00000000284f0000  0xb000    C:\Windows\SYSTEM32\WINNSI.DLL
0x0000000030ca0000  0x8000    C:\Windows\System32\NSI.dll
0x000000002d170000  0xa4000   C:\Windows\SYSTEM32\DNSAPI.dll
0x0000000024fa0000  0xa000    C:\Windows\System32\rasadhlp.dll
0x0000000004790000  0x18a000  C:\Windows\SYSTEM32\ieapfltr.dll
0x00000000306a0000  0x9e000   C:\Windows\System32\clbcatq.dll
0x000000000eda0000  0xcb000   C:\Windows\System32\ieproxy.dll
0x0000000025570000  0x6b000   C:\Windows\System32\fwpuclnt.dll
0x000000002cfb0000  0x34000   C:\Windows\system32\rsaenh.dll
0x00000000122e0000  0x8e000   C:\Windows\SYSTEM32\IEUI.dll
0x000000002ed00000  0x71000   C:\Windows\System32\coml2.dll
0x00000000193d0000  0x24000   C:\Windows\system32\mssprxy.dll
0x000000002a700000  0x1ac000  C:\Windows\system32\windowscodecs.dll
0x000000001bb90000  0x6b000   C:\Windows\System32\oleacc.dll
0x000000001bae0000  0x47000   C:\Windows\system32\dataexchange.dll
0x000000002bac0000  0x122000  C:\Windows\system32\dcomp.dll
0x000000002af00000  0x2df000  C:\Windows\system32\d3d11.dll
0x000000002c900000  0xa4000   C:\Windows\system32\dxgi.dll
0x000000002c520000  0x170000  C:\Windows\system32\twinapi.appcore.dll
0x000000001a960000  0x482000  C:\Windows\system32\explorerframe.dll
0x00000000287f0000  0x82000   C:\Windows\System32\TextInputFramework.dll
0x000000002a320000  0x2d2000  C:\Windows\System32\CoreUIComponents.dll
0x000000002b1e0000  0xe3000   C:\Windows\System32\CoreMessaging.dll
0x000000002cde0000  0x31000   C:\Windows\SYSTEM32\ntmarta.dll
0x000000002a1e0000  0x139000  C:\Windows\SYSTEM32\wintypes.dll
0x000000002a100000  0x15000   C:\Windows\SYSTEM32\usermgrcli.dll
0x000000002aa10000  0x7000    C:\Windows\SYSTEM32\MSIMG32.dll
0x000000001dcb0000  0x6a000   C:\Windows\System32\OneCoreCommonProxyStub.dll
0x0000000024a90000  0xc000    C:\Windows\SYSTEM32\Secur32.dll
0x00000000145c0000  0x3f000   C:\Windows\SYSTEM32\MLANG.dll
0x000000002d910000  0x9a000   C:\Windows\SYSTEM32\sxs.dll
0x000000002b2f0000  0x196000  C:\Windows\SYSTEM32\PROPSYS.dll
0x000000002d9e0000  0x29000   C:\Windows\SYSTEM32\userenv.dll
0x000000002cc10000  0x21000   C:\Windows\SYSTEM32\profext.dll
0x000000002cef0000  0x7c000   C:\Windows\system32\schannel.DLL
0x000000002e5e0000  0x1c9000  C:\Windows\System32\CRYPT32.dll
0x000000002db70000  0x11000   C:\Windows\System32\MSASN1.dll
0x000000001df00000  0x14000   C:\Windows\SYSTEM32\mskeyprotect.dll
0x000000002d610000  0x25000   C:\Windows\SYSTEM32\ncrypt.dll
0x000000002d5d0000  0x36000   C:\Windows\SYSTEM32\NTASN1.dll
0x000000001df50000  0x21000   C:\Windows\system32\ncryptsslp.dll
0x000000002cff0000  0xa000    C:\Windows\SYSTEM32\DPAPI.DLL
0x000000002eb70000  0x56000   C:\Windows\System32\WINTRUST.dll
0x000000001ded0000  0x2f000   C:\Windows\System32\cryptnet.dll
0x000000001fe60000  0x25d000  C:\Windows\System32\msxml6.dll
0x00000000284d0000  0x16000   C:\Windows\SYSTEM32\dhcpcsvc6.DLL
0x00000000284b0000  0x1a000   C:\Windows\SYSTEM32\dhcpcsvc.DLL
0x000000001dfa0000  0x91000   C:\Windows\SYSTEM32\webio.dll
0x00000000fe6b0000  0x16af000  C:\Windows\SYSTEM32\MSHTML.dll
0x0000000021310000  0x76000   C:\Windows\system32\webplatstorageserver.dll
------------------------------------------------------------------------------
iexplore.exe pid: 1544
Command line: "C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE" SCODEF:6152 CREDAT:75009 /prefetch:2

Base                Size      Path
0x00000000002c0000  0xca000   C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE
0x0000000031670000  0x1db000  C:\Windows\SYSTEM32\ntdll.dll
0x0000000072460000  0x51000   C:\Windows\System32\wow64.dll
0x00000000723d0000  0x73000   C:\Windows\System32\wow64win.dll
0x0000000072450000  0xa000    C:\Windows\System32\wow64cpu.dll
0x00000000002c0000  0xca000   C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE
0x0000000077ae0000  0x18e000  C:\Windows\SysWOW64\ntdll.dll
0x00000000768a0000  0xd0000   C:\Windows\SysWOW64\KERNEL32.DLL
0x0000000076980000  0x1c2000  C:\Windows\SysWOW64\KERNELBASE.dll
0x00000000725a0000  0x93000   C:\Windows\SysWOW64\apphelp.dll
0x0000000076430000  0x13c000  C:\Windows\SysWOW64\USER32.dll
